X82,nd,bra,pre,par,ama,ind,total,nao_bra_prop,nao_bra_prop_declarados
35000012,194,269,16,77,1,1,558,51.79211469534051,26.098901098901095
35000024,870,859,97,653,3,4,2486,65.44650040225261,46.8440594059406
35000036,464,1105,102,676,2,3,2352,53.0187074829932,41.472457627118644
35000048,150,459,53,357,7,2,1028,55.35019455252919,47.722095671981776
35000059,214,390,31,335,3,0,973,59.91778006166495,48.61660079051383
35000061,354,293,21,219,4,0,891,67.11560044893379,45.43761638733705
35000073,143,164,23,129,0,1,460,64.34782608695653,48.26498422712934
35000085,245,199,24,122,0,0,590,66.27118644067797,42.31884057971015
35000097,481,398,59,318,3,4,1263,68.48772763262075,49.10485933503836
35000103,389,285,31,272,3,1,981,70.9480122324159,51.85810810810811
35000115,398,235,17,184,2,0,836,71.88995215311004,46.34703196347032
35000127,243,342,9,159,1,1,755,54.70198675496689,33.203125
35000139,275,689,50,227,1,3,1245,44.65863453815261,28.96907216494845
35000140,83,273,23,134,0,0,513,46.783625730994146,36.51162790697674
35000152,185,92,6,39,0,0,322,71.42857142857143,32.846715328467155
35000164,199,302,30,94,1,0,626,51.75718849840256,29.274004683840747
35000176,403,507,53,308,1,5,1277,60.297572435395466,41.9908466819222
35000188,283,490,25,222,0,1,1021,52.007835455435846,33.60433604336044
35000197,285,373,38,225,1,6,928,59.80603448275862,41.990668740279936
35000206,180,315,10,165,2,0,672,53.125,35.97560975609756
35000218,167,346,37,179,1,1,731,52.667578659370726,38.652482269503544
35000224,299,776,54,349,6,12,1496,48.12834224598931,35.17126148705096
35000231,232,440,61,324,1,0,1058,58.41209829867675,46.73123486682809
35000243,232,140,16,91,0,1,480,70.83333333333333,43.548387096774185
35000255,139,376,49,205,4,0,773,51.35834411384217,40.694006309148264
35000267,209,695,33,203,4,1,1145,39.301310043668124,25.747863247863243
35000279,474,351,31,220,2,1,1079,67.46987951807229,41.98347107438016
35000280,282,1056,84,683,1,1,2107,49.88134788799241,42.13698630136986
35000292,178,177,31,157,4,1,548,67.7007299270073,52.16216216216216
35000309,10,285,48,165,2,1,511,44.22700587084149,43.113772455089816
35000310,187,136,14,116,2,4,459,70.37037037037037,50
35000322,189,307,38,160,2,5,701,56.20542082738944,40.0390625
35000334,207,555,50,192,9,4,1017,45.427728613569315,31.481481481481477
35000346,221,307,25,90,2,0,645,52.4031007751938,27.594339622641506
35000358,205,224,50,194,5,4,682,67.15542521994135,53.03983228511531
35000361,170,396,35,126,0,0,727,45.529573590096284,28.904847396768407
35000371,332,764,87,413,5,1,1602,52.30961298377028,39.84251968503937
35000383,98,634,73,347,2,2,1156,45.155709342560556,40.07561436672968
35000395,168,558,63,322,4,0,1115,49.95515695067264,41.07708553326294
35000401,115,712,67,257,6,1,1158,38.5146804835924,31.73537871524449
35000413,140,389,37,179,2,3,750,48.133333333333326,36.22950819672132
35000425,303,268,20,179,1,0,771,65.23994811932555,42.73504273504274
35000437,252,219,26,105,0,1,603,63.681592039801,37.60683760683761
35000449,148,178,15,95,0,1,437,59.26773455377574,38.4083044982699
35000450,152,550,23,166,3,1,895,38.547486033519554,25.97577388963661
35000462,315,410,78,216,4,4,1027,60.07789678675755,42.41573033707865
35000474,144,238,15,77,0,0,474,49.789029535864984,27.878787878787882
35000486,332,703,36,208,9,6,1294,45.672333848531686,26.923076923076927
35000498,166,328,62,230,2,3,791,58.53350189633375,47.519999999999996
35000504,313,361,45,192,3,0,914,60.50328227571116,39.93344425956739
35000516,159,215,23,92,4,9,502,57.17131474103585,37.31778425655977
35000528,136,260,57,202,3,9,667,61.019490254872565,51.03578154425612
35000536,278,655,76,320,3,1,1333,50.862715678919734,37.91469194312796
35000541,138,212,44,240,0,69,703,69.84352773826458,62.477876106194685
35000553,220,1263,99,363,2,2,1949,35.19753719856337,26.95199537304801
35000565,169,176,12,140,1,0,498,64.65863453815261,46.50455927051672
35000577,51,121,22,79,2,2,277,56.317689530685925,46.46017699115043
35000589,59,192,20,87,1,1,360,46.666666666666664,36.21262458471761
35000590,15,311,60,241,1,1,629,50.5564387917329,49.348534201954394
35000607,414,656,105,434,2,11,1622,59.556103575832296,45.6953642384106
35000619,178,220,13,84,0,0,495,55.55555555555556,30.5993690851735
35000620,193,567,41,274,0,3,1078,47.4025974025974,35.932203389830505
35000632,133,141,17,76,2,0,369,61.78861788617886,40.2542372881356
35000644,78,123,13,51,1,0,266,53.75939849624061,34.57446808510638
35000656,75,143,9,50,0,0,277,48.375451263537904,29.20792079207921
35000668,204,329,25,135,7,3,703,53.200568990042676,34.06813627254509
35000673,218,636,49,443,4,6,1356,53.09734513274336,44.11247803163445
35000681,225,224,7,115,2,7,580,61.37931034482759,36.901408450704224
35000693,254,431,40,304,2,1,1032,58.23643410852712,44.601542416452446
35000700,184,334,18,337,3,6,882,62.131519274376416,52.148997134670495
35000711,147,316,23,96,3,1,586,46.07508532423208,28.018223234624152
35000723,104,274,8,119,1,0,506,45.8498023715415,31.8407960199005
35000735,374,917,73,315,1,5,1685,45.5786350148368,30.053394355453854
35000747,175,484,42,241,3,9,954,49.26624737945493,37.869062901155324
35000759,94,374,12,315,0,4,799,53.191489361702125,46.95035460992908
35000760,129,324,13,132,3,6,607,46.62273476112026,32.21757322175732
35000772,284,279,20,85,3,2,673,58.543833580980674,28.277634961439592
35000784,132,156,8,187,5,7,495,68.48484848484848,57.02479338842975
35000796,121,513,31,361,1,0,1027,50.04868549172347,43.377483443708606
35000802,110,415,35,216,3,6,785,47.13375796178344,38.51851851851852
35000814,224,245,42,218,0,1,730,66.43835616438356,51.581027667984195
35000838,226,505,39,334,2,0,1106,54.33996383363472,42.61363636363637
35000848,1185,125,12,45,1,4,1372,90.88921282798835,33.155080213903744
35000851,70,209,10,222,5,5,521,59.88483685220729,53.65853658536586
35000863,339,239,11,39,3,0,631,62.12361331220285,18.150684931506845
35000875,139,293,19,100,1,1,553,47.01627486437613,29.227053140096615
35000899,162,138,8,45,0,2,355,61.12676056338029,28.497409326424872
35000905,141,270,10,85,0,0,506,46.640316205533594,26.027397260273975
35000917,230,385,34,124,1,1,775,50.32258064516129,29.357798165137616
35000929,172,433,28,141,5,2,781,44.55825864276568,28.899835796387517
35000930,72,119,9,42,0,0,242,50.82644628099173,30.000000000000004
35000942,82,220,10,95,5,0,412,46.601941747572816,33.333333333333336
35000954,630,1040,75,405,10,5,2165,51.96304849884527,32.247557003257334
35000966,90,279,23,99,3,4,498,43.975903614457835,31.61764705882353
35000978,99,334,13,107,5,2,560,40.35714285714286,27.54880694143167
35000985,200,273,29,100,4,1,607,55.024711696869844,32.92383292383292
35001004,185,512,36,248,2,2,985,48.02030456852792,36
35001016,339,793,58,396,5,2,1593,50.219711236660395,36.76236044657097
35001028,113,416,45,276,2,0,852,51.1737089201878,43.707713125845736
35001036,137,375,41,201,1,2,757,50.46235138705416,39.516129032258064
35001041,150,328,31,174,1,1,685,52.11678832116788,38.691588785046726
35001053,253,208,17,124,0,1,603,65.50580431177447,40.57142857142857
35001065,331,310,13,129,3,3,789,60.70975918884665,32.314410480349345
35001077,441,411,21,151,2,1,1027,59.98052580331061,29.86348122866894
35001089,112,362,29,136,1,3,643,43.701399688958006,31.826741996233523
35001090,299,336,24,276,5,3,943,64.36903499469777,47.82608695652174
35001119,129,305,20,201,5,48,708,56.92090395480226,47.32297063903281
35001120,247,378,17,73,12,0,727,48.00550206327373,21.250000000000004
35001132,188,459,23,188,2,4,864,46.875,32.100591715976336
35001144,225,536,44,287,2,0,1094,51.0054844606947,38.3199079401611
35001156,170,1027,96,420,7,0,1720,40.29069767441861,33.74193548387097
35001168,178,431,25,200,5,1,840,48.6904761904762,34.89425981873112
